Time,Node,Direction,Value
2025-03-01 05:56:26.459613440+00:00,W046,left,2
2025-03-01 05:48:08.049595136+00:00,W046,left,2
2025-03-01 05:48:08.049595136+00:00,W046,straight,8
2025-03-01 05:39:55.901642496+00:00,W046,left,3
2025-03-01 05:39:55.901642496+00:00,W046,right,1
2025-03-01 05:31:58.783388160+00:00,W046,straight,1
2025-03-01 05:23:59.951910400+00:00,W046,left,3
2025-03-01 05:23:59.951910400+00:00,W046,right,2
2025-03-01 05:23:59.951910400+00:00,W046,straight,1
2025-03-01 05:15:48.615930624+00:00,W046,left,2
2025-03-01 05:15:48.615930624+00:00,W046,straight,5
2025-03-01 04:58:26.884917760+00:00,W046,left,1
2025-03-01 04:58:26.884917760+00:00,W046,straight,1
2025-03-01 04:50:32.080935424+00:00,W046,left,1
2025-03-01 04:50:32.080935424+00:00,W046,straight,2
2025-03-01 04:41:37.989534464+00:00,W046,straight,6
2025-03-01 04:32:54.823490048+00:00,W046,straight,2
2025-03-01 04:24:08.105485568+00:00,W046,left,5
2025-03-01 04:24:08.105485568+00:00,W046,straight,10
2025-03-01 04:14:50.373708544+00:00,W046,left,3
2025-03-01 04:14:50.373708544+00:00,W046,straight,3
2025-03-01 04:06:31.626235904+00:00,W046,left,2
2025-03-01 04:06:31.626235904+00:00,W046,straight,5
2025-03-01 03:58:10.832644608+00:00,W046,left,2
2025-03-01 03:58:10.832644608+00:00,W046,straight,2
2025-03-01 03:48:54.078427904+00:00,W046,left,5
2025-03-01 03:48:54.078427904+00:00,W046,straight,2
2025-03-01 03:39:58.164409856+00:00,W046,left,5
2025-03-01 03:39:58.164409856+00:00,W046,straight,2
2025-03-01 03:30:52.245385472+00:00,W046,left,3
2025-03-01 03:30:52.245385472+00:00,W046,straight,5
2025-03-01 03:21:59.726611200+00:00,W046,left,6
2025-03-01 03:21:59.726611200+00:00,W046,right,3
2025-03-01 03:21:59.726611200+00:00,W046,straight,7
2025-03-01 03:12:28.703724800+00:00,W046,left,5
2025-03-01 03:12:28.703724800+00:00,W046,straight,9
2025-03-01 03:03:30.557319936+00:00,W046,left,4
2025-03-01 03:03:30.557319936+00:00,W046,right,5
2025-03-01 03:03:30.557319936+00:00,W046,straight,2
2025-03-01 02:53:58.898342144+00:00,W046,left,2
2025-03-01 02:53:58.898342144+00:00,W046,straight,7
2025-03-01 02:45:34.669534976+00:00,W046,left,6
2025-03-01 02:45:34.669534976+00:00,W046,right,4
2025-03-01 02:45:34.669534976+00:00,W046,straight,3
2025-03-01 02:35:48.720011520+00:00,W046,left,4
2025-03-01 02:35:48.720011520+00:00,W046,right,2
2025-03-01 02:35:48.720011520+00:00,W046,straight,7
2025-03-01 02:26:46.958483968+00:00,W046,left,9
2025-03-01 02:26:46.958483968+00:00,W046,right,2
2025-03-01 02:26:46.958483968+00:00,W046,straight,7
2025-03-01 02:17:57.037185536+00:00,W046,left,4
2025-03-01 02:17:57.037185536+00:00,W046,right,1
2025-03-01 02:17:57.037185536+00:00,W046,straight,10
2025-03-01 02:08:36.691715072+00:00,W046,left,10
2025-03-01 02:08:36.691715072+00:00,W046,right,1
2025-03-01 02:08:36.691715072+00:00,W046,straight,7
2025-03-01 01:58:50.769576192+00:00,W046,left,3
2025-03-01 01:58:50.769576192+00:00,W046,straight,2
2025-03-01 01:50:15.077494784+00:00,W046,left,2
2025-03-01 01:50:15.077494784+00:00,W046,right,1
2025-03-01 01:50:15.077494784+00:00,W046,straight,10
2025-03-01 01:40:36.814170112+00:00,W046,left,3
2025-03-01 01:40:36.814170112+00:00,W046,straight,3
2025-03-01 01:31:38.890561024+00:00,W046,left,3
2025-03-01 01:31:38.890561024+00:00,W046,right,1
2025-03-01 01:31:38.890561024+00:00,W046,straight,5
2025-03-01 01:21:51.930222080+00:00,W046,left,1
2025-03-01 01:21:51.930222080+00:00,W046,right,1
2025-03-01 01:12:02.950423808+00:00,W046,left,7
2025-03-01 01:12:02.950423808+00:00,W046,right,2
2025-03-01 01:12:02.950423808+00:00,W046,straight,5
2025-03-01 00:53:05.574381312+00:00,W046,left,2
2025-03-01 00:42:24.570322176+00:00,W046,left,6
2025-03-01 00:42:24.570322176+00:00,W046,right,2
2025-03-01 00:42:24.570322176+00:00,W046,straight,4
2025-03-01 00:33:06.008890880+00:00,W046,left,2
2025-03-01 00:22:47.581873408+00:00,W046,left,9
2025-03-01 00:22:47.581873408+00:00,W046,straight,12
2025-03-01 00:12:49.265966848+00:00,W046,left,2
2025-03-01 00:12:49.265966848+00:00,W046,right,2
2025-03-01 00:12:49.265966848+00:00,W046,straight,3
2025-03-01 00:02:04.079827200+00:00,W046,left,5
2025-03-01 00:02:04.079827200+00:00,W046,straight,3
2025-02-28 23:52:05.419738624+00:00,W046,left,5
2025-02-28 23:52:05.419738624+00:00,W046,straight,7
2025-02-28 23:41:45.176441856+00:00,W046,left,5
2025-02-28 23:41:45.176441856+00:00,W046,right,4
2025-02-28 23:41:45.176441856+00:00,W046,straight,10
2025-02-28 23:31:38.000323584+00:00,W046,left,5
2025-02-28 23:31:38.000323584+00:00,W046,right,6
2025-02-28 23:31:38.000323584+00:00,W046,straight,8
2025-02-28 23:21:04.116971264+00:00,W046,left,8
2025-02-28 23:21:04.116971264+00:00,W046,right,3
2025-02-28 23:21:04.116971264+00:00,W046,straight,9
2025-02-28 23:10:03.754129152+00:00,W046,left,2
2025-02-28 23:10:03.754129152+00:00,W046,right,2
2025-02-28 23:10:03.754129152+00:00,W046,straight,4
2025-02-28 22:59:04.989140224+00:00,W046,left,9
2025-02-28 22:59:04.989140224+00:00,W046,right,1
2025-02-28 22:59:04.989140224+00:00,W046,straight,11
2025-02-28 22:48:32.067772416+00:00,W046,left,3
2025-02-28 22:48:32.067772416+00:00,W046,straight,1
2025-02-28 22:38:08.134625024+00:00,W046,left,1
2025-02-28 22:38:08.134625024+00:00,W046,straight,1
2025-02-28 22:27:35.196206080+00:00,W046,left,4
2025-02-28 22:27:35.196206080+00:00,W046,right,2
2025-02-28 22:27:35.196206080+00:00,W046,straight,10
2025-02-28 22:17:09.940968704+00:00,W046,left,8
2025-02-28 22:17:09.940968704+00:00,W046,right,3
2025-02-28 22:17:09.940968704+00:00,W046,straight,19
2025-02-28 22:07:04.462879488+00:00,W046,left,10
2025-02-28 22:07:04.462879488+00:00,W046,right,4
2025-02-28 22:07:04.462879488+00:00,W046,straight,13
2025-02-28 21:56:35.888048640+00:00,W046,left,10
2025-02-28 21:56:35.888048640+00:00,W046,right,3
2025-02-28 21:56:35.888048640+00:00,W046,straight,14
2025-02-28 21:46:35.839696128+00:00,W046,left,4
2025-02-28 21:46:35.839696128+00:00,W046,straight,8
2025-02-28 21:36:26.806842880+00:00,W046,left,8
2025-02-28 21:36:26.806842880+00:00,W046,straight,21
2025-02-28 21:26:34.756898816+00:00,W046,left,5
2025-02-28 21:26:34.756898816+00:00,W046,right,5
2025-02-28 21:26:34.756898816+00:00,W046,straight,5
2025-02-28 21:15:49.379644672+00:00,W046,left,6
2025-02-28 21:15:49.379644672+00:00,W046,right,3
2025-02-28 21:15:49.379644672+00:00,W046,straight,1
2025-02-28 21:05:47.305106176+00:00,W046,left,3
2025-02-28 21:05:47.305106176+00:00,W046,straight,1
2025-02-28 20:56:00.997528320+00:00,W046,left,5
2025-02-28 20:56:00.997528320+00:00,W046,right,2
2025-02-28 20:56:00.997528320+00:00,W046,straight,13
2025-02-28 20:46:17.257782016+00:00,W046,left,9
2025-02-28 20:46:17.257782016+00:00,W046,straight,8
2025-02-28 20:37:03.509130496+00:00,W046,left,2
2025-02-28 20:37:03.509130496+00:00,W046,right,7
2025-02-28 20:37:03.509130496+00:00,W046,straight,1
2025-02-28 20:27:05.479518720+00:00,W046,left,2
2025-02-28 20:17:01.579150080+00:00,W046,left,4
2025-02-28 20:17:01.579150080+00:00,W046,right,2
2025-02-28 20:07:04.981386496+00:00,W046,left,3
2025-02-28 20:07:04.981386496+00:00,W046,straight,1
2025-02-28 19:57:46.379388672+00:00,W046,left,6
2025-02-28 19:57:46.379388672+00:00,W046,right,1
2025-02-28 19:57:46.379388672+00:00,W046,straight,17
2025-02-28 19:47:06.456463104+00:00,W046,left,7
2025-02-28 19:47:06.456463104+00:00,W046,right,4
2025-02-28 19:47:06.456463104+00:00,W046,straight,4
2025-02-28 19:37:27.823732480+00:00,W046,left,5
2025-02-28 19:37:27.823732480+00:00,W046,right,3
2025-02-28 19:37:27.823732480+00:00,W046,straight,7
2025-02-28 19:27:24.760079360+00:00,W046,left,3
2025-02-28 19:27:24.760079360+00:00,W046,right,1
2025-02-28 19:27:24.760079360+00:00,W046,straight,5
2025-02-28 19:17:38.330602240+00:00,W046,left,7
2025-02-28 19:17:38.330602240+00:00,W046,right,3
2025-02-28 19:17:38.330602240+00:00,W046,straight,10
2025-02-28 19:07:29.334173440+00:00,W046,left,5
2025-02-28 19:07:29.334173440+00:00,W046,right,1
2025-02-28 19:07:29.334173440+00:00,W046,straight,7
2025-02-28 18:58:15.808911360+00:00,W046,left,11
2025-02-28 18:58:15.808911360+00:00,W046,right,4
2025-02-28 18:58:15.808911360+00:00,W046,straight,18
2025-02-28 18:48:11.544583424+00:00,W046,left,6
2025-02-28 18:48:11.544583424+00:00,W046,straight,4
2025-02-28 18:38:46.726368512+00:00,W046,left,3
2025-02-28 18:28:24.042420480+00:00,W046,left,5
2025-02-28 18:28:24.042420480+00:00,W046,right,3
2025-02-28 18:28:24.042420480+00:00,W046,straight,4
2025-02-28 18:18:58.956262144+00:00,W046,left,4
2025-02-28 18:18:58.956262144+00:00,W046,right,2
2025-02-28 18:18:58.956262144+00:00,W046,straight,4
2025-02-28 18:08:48.642589696+00:00,W046,left,5
2025-02-28 18:08:48.642589696+00:00,W046,right,2
2025-02-28 18:08:48.642589696+00:00,W046,straight,11
2025-02-28 17:59:03.936945152+00:00,W046,left,8
2025-02-28 17:59:03.936945152+00:00,W046,right,1
2025-02-28 17:59:03.936945152+00:00,W046,straight,8
2025-02-28 17:48:50.857355776+00:00,W046,left,11
2025-02-28 17:48:50.857355776+00:00,W046,straight,12
2025-02-28 17:39:25.321985280+00:00,W046,left,3
2025-02-28 17:39:25.321985280+00:00,W046,right,1
2025-02-28 17:39:25.321985280+00:00,W046,straight,8
2025-02-28 17:29:00.267393024+00:00,W046,left,3
2025-02-28 17:29:00.267393024+00:00,W046,right,1
2025-02-28 17:29:00.267393024+00:00,W046,straight,9
2025-02-28 17:20:25.661702144+00:00,W046,left,1
2025-02-28 17:20:25.661702144+00:00,W046,right,2
2025-02-28 17:20:25.661702144+00:00,W046,straight,2
2025-02-28 17:10:20.497210880+00:00,W046,left,3
2025-02-28 17:10:20.497210880+00:00,W046,right,2
2025-02-28 17:10:20.497210880+00:00,W046,straight,6
2025-02-28 17:01:21.130943488+00:00,W046,left,7
2025-02-28 17:01:21.130943488+00:00,W046,right,4
2025-02-28 17:01:21.130943488+00:00,W046,straight,30
2025-02-28 16:51:21.486588160+00:00,W046,left,2
2025-02-28 16:42:17.692374784+00:00,W046,left,5
2025-02-28 16:42:17.692374784+00:00,W046,right,1
2025-02-28 16:42:17.692374784+00:00,W046,straight,5
2025-02-28 16:32:28.516584192+00:00,W046,left,2
2025-02-28 16:32:28.516584192+00:00,W046,right,1
2025-02-28 16:32:28.516584192+00:00,W046,straight,3
2025-02-28 16:23:22.573555968+00:00,W046,left,7
2025-02-28 16:23:22.573555968+00:00,W046,right,3
2025-02-28 16:23:22.573555968+00:00,W046,straight,15
2025-02-28 16:13:13.636475392+00:00,W046,left,2
2025-02-28 16:13:13.636475392+00:00,W046,right,2
2025-02-28 16:13:13.636475392+00:00,W046,straight,3
2025-02-28 16:04:40.219096064+00:00,W046,left,7
2025-02-28 16:04:40.219096064+00:00,W046,right,3
2025-02-28 16:04:40.219096064+00:00,W046,straight,24
2025-03-01 15:56:37.021643520+00:00,W047,left,3
2025-03-01 15:56:37.021643520+00:00,W047,right,1
2025-03-01 15:56:37.021643520+00:00,W047,straight,5
2025-03-01 15:46:24.135229440+00:00,W047,left,4
2025-03-01 15:46:24.135229440+00:00,W047,straight,14
2025-03-01 15:36:10.875546368+00:00,W047,left,7
2025-03-01 15:36:10.875546368+00:00,W047,straight,6
2025-03-01 15:25:43.136802560+00:00,W047,left,5
2025-03-01 15:25:43.136802560+00:00,W047,straight,11
2025-03-01 15:16:34.332367104+00:00,W047,left,9
